b\a	mol	0	1	2	3	4	5	6	7	8	9	10
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
4	0	[]	[]	[]	[]	[]	1.76779393196	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]	1.28385894125	[]	[]	[]	[]	[]
4	2	[]	[]	[]	[]	[]	2.11427278991	[]	[]	[]	[]	[]
4	3	[]	[]	[]	[]	[]	2.32154443326	[]	[]	[]	[]	[]
5	0	[]	[]	[]	[]	1.0187047327	1.37413692555	0.976883016543	[]	[]	[]	[]
5	1	[]	[]	[]	[]	2.41253149904	1.23632048634	2.64897798407	[]	[]	[]	[]
5	2	[]	[]	[]	[]	2.19320088539	3.67062637806	2.1830147442	[]	[]	[]	[]
5	3	[]	[]	[]	[]	3.4247353331	1.07035520502	4.48100636084	[]	[]	[]	[]
6	0	[]	[]	[]	[]	[]	1.62703681666	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	2.28897274521	[]	[]	[]	[]	[]
6	2	[]	[]	[]	[]	[]	3.38584518233	[]	[]	[]	[]	[]
6	3	[]	[]	[]	[]	[]	1.32657290395	[]	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
