c\b	mol	0	1	2	3	4	5	6	7	8	9	10
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	[]	-0.864276828537	[]	[]	[]	[]	[]
3	1	[]	[]	[]	[]	[]	1.99617482412	[]	[]	[]	[]	[]
3	2	[]	[]	[]	[]	[]	2.2491836996	[]	[]	[]	[]	[]
3	3	[]	[]	[]	[]	[]	0.394995328958	[]	[]	[]	[]	[]
4	0	[]	[]	[]	[]	0.667881751124	0.861428122786	0.349197720621	[]	[]	[]	[]
4	1	[]	[]	[]	[]	-0.468665138005	-0.0234524473092	2.21902097368	[]	[]	[]	[]
4	2	[]	[]	[]	[]	1.53243905002	-0.539771955648	0.613612386574	[]	[]	[]	[]
4	3	[]	[]	[]	[]	0.205160316268	1.08075740646	1.23756430079	[]	[]	[]	[]
5	0	[]	[]	[]	1.72172321863	2.35850075487	1.98828518215	1.16343347361	1.21061935494	[]	[]	[]
5	1	[]	[]	[]	1.74733348988	1.69836902227	1.11288528736	1.21778317705	2.16533353902	[]	[]	[]
5	2	[]	[]	[]	1.10494659096	1.15358918208	1.35022225169	1.6384589048	1.590090955	[]	[]	[]
5	3	[]	[]	[]	0.764679628738	-0.91008352028	0.677059273671	-0.73262831166	0.668012493499	[]	[]	[]
6	0	[]	[]	[]	[]	1.86582390998	1.88972217263	1.68325658997	[]	[]	[]	[]
6	1	[]	[]	[]	[]	1.29642826616	0.955591127618	1.0770364386	[]	[]	[]	[]
6	2	[]	[]	[]	[]	0.920984082352	0.800813866762	1.10067957638	[]	[]	[]	[]
6	3	[]	[]	[]	[]	2.15825507811	2.21435038683	1.85509534288	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	1.87537671882	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	1.4840266395	[]	[]	[]	[]	[]
7	2	[]	[]	[]	[]	[]	1.45737564649	[]	[]	[]	[]	[]
7	3	[]	[]	[]	[]	[]	1.96684298869	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
