c\b	mol	0	1	2	3	4	5	6	7	8	9	10
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	[]	1.33967984655	[]	[]	[]	[]	[]
3	1	[]	[]	[]	[]	[]	1.25661783487	[]	[]	[]	[]	[]
4	0	[]	[]	[]	[]	1.21190179827	1.11452001697	1.44962678038	[]	[]	[]	[]
4	1	[]	[]	[]	[]	1.15515736209	0.967723740662	1.22723017296	[]	[]	[]	[]
5	0	[]	[]	[]	1.28511315085	0.946478687262	1.12577101358	1.68728105906	1.60994004885	[]	[]	[]
5	1	[]	[]	[]	1.05201764886	1.22162321841	1.08168838164	1.26508957439	1.56664083062	[]	[]	[]
6	0	[]	[]	[]	[]	1.17076419113	1.0233771934	1.33009982148	[]	[]	[]	[]
6	1	[]	[]	[]	[]	1.10217519047	0.896577011624	1.10771709176	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	1.3542557575	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	1.25522784843	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
