b\a	mol	0	1	2	3	4	5	6	7	8	9	10
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	[]	1.32433445126	[]	[]	[]	[]	[]
3	1	[]	[]	[]	[]	[]	1.26018408831	[]	[]	[]	[]	[]
4	0	[]	[]	[]	[]	1.3052531227	1.27566836547	1.29544606607	[]	[]	[]	[]
4	1	[]	[]	[]	[]	1.41873117142	1.39521601646	1.29165893387	[]	[]	[]	[]
5	0	[]	[]	[]	1.25421497699	1.44065637578	1.20092649371	1.36139038549	1.31139596181	[]	[]	[]
5	1	[]	[]	[]	1.54062473408	1.40895418775	1.29441783521	1.48470962521	1.14212207977	[]	[]	[]
6	0	[]	[]	[]	[]	1.4566461789	1.29907639031	1.63449772753	[]	[]	[]	[]
6	1	[]	[]	[]	[]	1.28323985867	1.29414966878	1.36721488399	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	1.27681273234	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	1.25656925864	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
