c\b	mol	0	1	2	3	4	5	6	7	8	9	10
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	[]	1.40972225959	[]	[]	[]	[]	[]
3	1	[]	[]	[]	[]	[]	1.63044519176	[]	[]	[]	[]	[]
4	0	[]	[]	[]	[]	1.10664061371	1.09730224539	1.30628873191	[]	[]	[]	[]
4	1	[]	[]	[]	[]	1.33743365228	1.13414063411	1.16735047034	[]	[]	[]	[]
5	0	[]	[]	[]	1.53155134144	1.32458098329	1.35537661987	1.15621000685	1.2718202125	[]	[]	[]
5	1	[]	[]	[]	1.7715373607	1.61400477952	1.73531633176	1.06962929312	1.24466297863	[]	[]	[]
6	0	[]	[]	[]	[]	1.21417432627	1.20096374371	1.33014785523	[]	[]	[]	[]
6	1	[]	[]	[]	[]	1.44161362322	1.24065962932	1.23778206992	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	1.45157466714	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	1.67675229065	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
