b\a	mol	0	1	2	3	4	5	6	7	8	9	10
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	[]	0.779424332603	[]	[]	[]	[]	[]
3	1	[]	[]	[]	[]	[]	0.697798498864	[]	[]	[]	[]	[]
4	0	[]	[]	[]	[]	0.675086937447	0.6394247661	0.617148026792	[]	[]	[]	[]
4	1	[]	[]	[]	[]	0.620629489261	0.611581053451	0.634860567905	[]	[]	[]	[]
5	0	[]	[]	[]	0.632361296479	0.60774796607	0.586248130116	0.583158474325	0.589779334416	[]	[]	[]
5	1	[]	[]	[]	0.616473504091	0.59704870176	0.595784675633	0.622897722421	0.669463969937	[]	[]	[]
6	0	[]	[]	[]	[]	0.625402337882	0.609621225078	0.61053817748	[]	[]	[]	[]
6	1	[]	[]	[]	[]	0.629984606391	0.645481506506	0.692413462251	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	0.701035470981	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	0.779699954201	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
