a\c	mol	0	1	2	3	4	5	6	7	8	9	10	11	12
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	0.578852193449	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	0.603504973832	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	[]	0.573476969758	0.556575564147	0.572230056983	[]	[]	[]	[]	[]
3	1	[]	[]	[]	[]	[]	0.599991893017	0.579114694124	0.600023045708	[]	[]	[]	[]	[]
4	0	[]	[]	[]	[]	0.596114088539	0.557869073917	0.543436167535	0.55737121362	0.596094349169	[]	[]	[]	[]
4	1	[]	[]	[]	[]	0.613669850986	0.581535569935	0.565116217257	0.581768421485	0.614044974219	[]	[]	[]	[]
5	0	[]	[]	[]	0.633724864611	0.584253741545	0.551969988671	0.532593251029	0.552143315512	0.584578370713	0.633926045051	[]	[]	[]
5	1	[]	[]	[]	0.64278737241	0.600418790577	0.573373195496	0.557981015996	0.573815836023	0.600866547901	0.642984048661	[]	[]	[]
6	0	[]	[]	0.717570687663	0.62046994186	0.580927046638	0.548059304007	0.527111239441	0.548880220149	0.581559136328	0.620785478738	0.717627867051	[]	[]
6	1	[]	[]	0.796194964605	0.658385105891	0.599420728085	0.571573652568	0.553937742384	0.572213619858	0.599937508016	0.658598766105	0.796124344582	[]	[]
7	0	[]	[]	[]	0.62157492247	0.577971651467	0.545695778878	0.519952267931	0.547094122081	0.578884374155	0.621996444722	[]	[]	[]
7	1	[]	[]	[]	0.705840166418	0.6252429079	0.576556346371	0.558480184563	0.577354429374	0.625835913917	0.706017780286	[]	[]	[]
8	0	[]	[]	[]	[]	0.579470338085	0.544619145099	0.523465122505	0.546495537791	0.580650926837	[]	[]	[]	[]
8	1	[]	[]	[]	[]	0.676168976555	0.607961204906	0.568828931827	0.608931476431	0.676665833965	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	0.549416464097	0.528360109512	0.551714203601	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	0.662522576906	0.60521733543	0.663262922063	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	0.538157896126	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	0.662098930682	[]	[]	[]	[]	[]	[]
11	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
11	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
