c\b	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	2	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	3	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	2	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	3	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	1.01470794638	[]	[]	[]	[]
3	1	[]	[]	[]	[]	2.69408060452	[]	[]	[]	[]
3	2	[]	[]	[]	[]	2.79485659238	[]	[]	[]	[]
3	3	[]	[]	[]	[]	0.955680047921	[]	[]	[]	[]
4	0	[]	[]	[]	2.20403677968	2.7757312944	2.35872452344	[]	[]	[]
4	1	[]	[]	[]	1.79973146502	1.57467784019	2.63401886462	[]	[]	[]
4	2	[]	[]	[]	3.02679065478	1.5282049133	1.79078898187	[]	[]	[]
4	3	[]	[]	[]	3.40108842206	3.06777694604	2.0111193263	[]	[]	[]
5	0	[]	[]	[]	[]	2.28903413433	[]	[]	[]	[]
5	1	[]	[]	[]	[]	1.82426226259	[]	[]	[]	[]
5	2	[]	[]	[]	[]	2.32089143564	[]	[]	[]	[]
5	3	[]	[]	[]	[]	2.24825868924	[]	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
6	2	[]	[]	[]	[]	[]	[]	[]	[]	[]
6	3	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	2	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	3	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	2	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	3	[]	[]	[]	[]	[]	[]	[]	[]	[]
