b\a	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	2	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	3	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	1.90217195345	[]	[]	[]	[]
2	1	[]	[]	[]	[]	1.65208904509	[]	[]	[]	[]
2	2	[]	[]	[]	[]	1.73540238639	[]	[]	[]	[]
2	3	[]	[]	[]	[]	4.59789730657	[]	[]	[]	[]
3	0	[]	[]	[]	1.85641029581	1.85295548968	1.92908301511	[]	[]	[]
3	1	[]	[]	[]	1.82082890623	1.38652318908	2.09393868148	[]	[]	[]
3	2	[]	[]	[]	0.21463649065	2.94476481101	0.525499012352	[]	[]	[]
3	3	[]	[]	[]	2.07897115819	4.90371873136	2.12385896454	[]	[]	[]
4	0	[]	[]	1.97520179436	2.00478335945	1.91175087132	2.1788483421	1.9660260016	[]	[]
4	1	[]	[]	1.58353419388	1.40648366775	0.3265130869	1.40505839257	1.57724321812	[]	[]
4	2	[]	[]	1.53957612396	0.907666012574	4.24674217622	1.15482566432	1.47991960155	[]	[]
4	3	[]	[]	2.06308574597	2.01552189119	3.38294908458	2.08654862407	2.0625048988	[]	[]
5	0	[]	[]	[]	2.34041962442	1.69037479939	2.81707561069	[]	[]	[]
5	1	[]	[]	[]	1.15307026245	0.141839907547	1.09049927804	[]	[]	[]
5	2	[]	[]	[]	1.45997027325	4.32965369039	1.59678472435	[]	[]	[]
5	3	[]	[]	[]	1.91509422922	5.78180541705	1.97211659575	[]	[]	[]
6	0	[]	[]	[]	[]	1.41415412391	[]	[]	[]	[]
6	1	[]	[]	[]	[]	-0.337476633752	[]	[]	[]	[]
6	2	[]	[]	[]	[]	3.34885848479	[]	[]	[]	[]
6	3	[]	[]	[]	[]	2.91034678607	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	2	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	3	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	2	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	3	[]	[]	[]	[]	[]	[]	[]	[]	[]
