b\a	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	2	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	3	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	1.33480574692	[]	[]	[]	[]
2	1	[]	[]	[]	[]	2.43042602837	[]	[]	[]	[]
2	2	[]	[]	[]	[]	2.61886078693	[]	[]	[]	[]
2	3	[]	[]	[]	[]	4.54278390972	[]	[]	[]	[]
3	0	[]	[]	[]	17.70432179	2.15082741112	24.5612408503	[]	[]	[]
3	1	[]	[]	[]	14.6941055974	2.14460596045	20.5580035774	[]	[]	[]
3	2	[]	[]	[]	2.24657494055	2.17434835615	2.32817590137	[]	[]	[]
3	3	[]	[]	[]	1.85664965594	4.094856083	1.99297833344	[]	[]	[]
4	0	[]	[]	-0.766280267517	10.079237273	2.14914012023	13.6347727273	-0.782469922828	[]	[]
4	1	[]	[]	2.0940312567	6.68581902654	1.6876972969	9.06398452656	2.10946397019	[]	[]
4	2	[]	[]	2.34576200317	1.8404537936	1.85126012971	1.9239295763	2.35339663253	[]	[]
4	3	[]	[]	0.473458338532	1.44812783536	2.19415421754	1.49605892362	0.38043873744	[]	[]
5	0	[]	[]	[]	13.0158241992	1.19103619426	17.9147835302	[]	[]	[]
5	1	[]	[]	[]	3.59105913757	1.55525649361	4.08457842743	[]	[]	[]
5	2	[]	[]	[]	1.39433086682	1.8629207369	1.49679055683	[]	[]	[]
5	3	[]	[]	[]	1.26030636888	3.15090451891	1.31614666805	[]	[]	[]
6	0	[]	[]	[]	[]	1.44946169679	[]	[]	[]	[]
6	1	[]	[]	[]	[]	2.2807748267	[]	[]	[]	[]
6	2	[]	[]	[]	[]	1.61292635908	[]	[]	[]	[]
6	3	[]	[]	[]	[]	2.75067626541	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	2	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	3	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	2	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	3	[]	[]	[]	[]	[]	[]	[]	[]	[]
