b\a	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	2	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	3	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	2	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	3	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	2.36514468573	[]	[]	[]	[]
3	1	[]	[]	[]	[]	1.59428467699	[]	[]	[]	[]
3	2	[]	[]	[]	[]	2.79616043179	[]	[]	[]	[]
3	3	[]	[]	[]	[]	3.43995219029	[]	[]	[]	[]
4	0	[]	[]	[]	14.224663093	1.97837421304	20.1238427089	[]	[]	[]
4	1	[]	[]	[]	6.33660655608	1.5266839849	8.3165432787	[]	[]	[]
4	2	[]	[]	[]	2.25930272306	6.88368137322	2.29867349891	[]	[]	[]
4	3	[]	[]	[]	0.985726795651	1.93195440019	1.12099109008	[]	[]	[]
5	0	[]	[]	[]	[]	2.24922249515	[]	[]	[]	[]
5	1	[]	[]	[]	[]	2.33827303183	[]	[]	[]	[]
5	2	[]	[]	[]	[]	4.44059201203	[]	[]	[]	[]
5	3	[]	[]	[]	[]	1.72639118406	[]	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
6	2	[]	[]	[]	[]	[]	[]	[]	[]	[]
6	3	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	2	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	3	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	2	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	3	[]	[]	[]	[]	[]	[]	[]	[]	[]
