b\a	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	2	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	3	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	2	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	3	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	1.78256277652	[]	[]	[]	[]
3	1	[]	[]	[]	[]	1.94595187105	[]	[]	[]	[]
3	2	[]	[]	[]	[]	2.06057729791	[]	[]	[]	[]
3	3	[]	[]	[]	[]	3.12082760818	[]	[]	[]	[]
4	0	[]	[]	[]	1.98159848688	2.04722102136	2.05075898829	[]	[]	[]
4	1	[]	[]	[]	2.44700382481	1.74220373143	3.13992095806	[]	[]	[]
4	2	[]	[]	[]	1.47788394543	2.23186486778	1.45967257143	[]	[]	[]
4	3	[]	[]	[]	2.03738781555	2.78264957817	2.03969739615	[]	[]	[]
5	0	[]	[]	[]	[]	2.09683524064	[]	[]	[]	[]
5	1	[]	[]	[]	[]	1.16667415464	[]	[]	[]	[]
5	2	[]	[]	[]	[]	1.86930516486	[]	[]	[]	[]
5	3	[]	[]	[]	[]	1.98174556211	[]	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
6	2	[]	[]	[]	[]	[]	[]	[]	[]	[]
6	3	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	2	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	3	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	2	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	3	[]	[]	[]	[]	[]	[]	[]	[]	[]
