a\c	mol	0	1	2	3	4	5	6	7	8	9	10	11	12
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
4	0	[]	[]	[]	[]	[]	[]	12.6416100052	[]	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]	[]	11.5367237588	[]	[]	[]	[]	[]	[]
5	0	[]	[]	[]	[]	[]	10.1895841369	6.79744921788	10.244553106	[]	[]	[]	[]	[]
5	1	[]	[]	[]	[]	[]	10.3737033228	6.23694609388	10.3364827849	[]	[]	[]	[]	[]
6	0	[]	[]	[]	[]	10.0289528569	10.1236080575	3.80044140453	9.90664440856	9.85289931153	[]	[]	[]	[]
6	1	[]	[]	[]	[]	9.08736863244	9.99592988068	4.85459320372	9.89974420352	8.89538300119	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	10.4607565282	6.24721130882	10.3945937438	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	11.1787392942	8.96738402331	11.0905372239	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	11.8672127364	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	12.877156216	[]	[]	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
11	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
11	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
