b\a	mol	0	1	2	3	4	5	6	7	8	9	10	11	12
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	10.4024905637	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	9.63771942488	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	[]	9.85942731843	9.85077042477	10.8645891317	[]	[]	[]	[]	[]
3	1	[]	[]	[]	[]	[]	9.14709033946	10.0882063876	11.3702540662	[]	[]	[]	[]	[]
4	0	[]	[]	[]	[]	12.0542143288	5.36821640027	-0.680002981201	4.73836177167	12.1561928964	[]	[]	[]	[]
4	1	[]	[]	[]	[]	11.848277839	-4.31242151212	-10.7770694731	4.47484923869	10.9570931182	[]	[]	[]	[]
5	0	[]	[]	[]	11.4582611224	10.2250880223	10.7251557697	11.9638032057	11.9086920828	11.37984357	12.2920951251	[]	[]	[]
5	1	[]	[]	[]	10.6779832262	7.3635908705	3.79846040122	3.40005399643	6.04236315362	9.48632722307	12.455375631	[]	[]	[]
6	0	[]	[]	11.3020515209	9.30423246773	10.8317912477	12.4729919089	11.8075904061	12.1798729822	13.3232392055	11.7894433715	11.3033719965	[]	[]
6	1	[]	[]	9.50776137291	7.82231044338	5.45216546153	2.70165479781	4.12899462201	9.21069158915	11.2898841974	10.2445448158	10.0500774656	[]	[]
7	0	[]	[]	[]	6.50370656849	9.52906209065	11.4648950998	11.5877487905	11.4415453165	11.3631482659	9.51265332903	[]	[]	[]
7	1	[]	[]	[]	2.79606780738	4.41166696216	3.01696304748	5.07774837925	7.39634867661	8.40328497938	7.58771517125	[]	[]	[]
8	0	[]	[]	[]	[]	-9.67348346301	11.5355433808	2.64310065255	7.86604107494	6.99982971593	[]	[]	[]	[]
8	1	[]	[]	[]	[]	1.89724319934	10.4194843286	7.15226066761	11.3530361734	-4.19418404993	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	8.86019997171	7.05033637007	10.71680295	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	8.60710811437	8.25356556254	11.090271669	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	9.85289931153	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	8.89538300119	[]	[]	[]	[]	[]	[]
11	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
11	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
