a\c	mol	0	1	2	3	4	5	6	7	8	9	10	11	12
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	[]	[]	1.76499677034	[]	[]	[]	[]	[]	[]
3	1	[]	[]	[]	[]	[]	[]	1.84364451381	[]	[]	[]	[]	[]	[]
4	0	[]	[]	[]	[]	[]	5.94465652859	7.09323177795	4.09606357422	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]	7.6660567747	11.4810079215	7.06419264929	[]	[]	[]	[]	[]
5	0	[]	[]	[]	[]	9.88328457467	8.66638507014	6.99372031815	9.43536307272	9.85942731843	[]	[]	[]	[]
5	1	[]	[]	[]	[]	8.74728514945	10.9222672938	10.7840599915	11.245037108	9.14709033946	[]	[]	[]	[]
6	0	[]	[]	[]	10.6463239557	9.84671947913	8.81741603096	7.59115931742	9.32206141871	9.85077042477	10.5005035506	[]	[]	[]
6	1	[]	[]	[]	10.0448438439	10.3274399562	11.8626713603	9.97370829399	11.4434467031	10.0882063876	9.99193068437	[]	[]	[]
7	0	[]	[]	[]	[]	10.8691794857	9.49523528271	8.07244547791	9.97044678393	10.8645891317	[]	[]	[]	[]
7	1	[]	[]	[]	[]	11.3575370557	11.0910589723	5.32369677645	11.4127925793	11.3702540662	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	10.4643366474	9.21967067906	9.86130031046	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	9.68198115127	6.45638349596	7.61699692336	[]	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	10.5805313503	[]	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	[]	12.6890413044	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
11	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
11	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
