b\a	mol	0	1	2	3	4	5	6	7	8	9	10	11	12
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	10.5004899765	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	9.75290764864	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	[]	9.88328457467	9.84671947913	10.8691794857	[]	[]	[]	[]	[]
3	1	[]	[]	[]	[]	[]	8.74728514945	10.3274399562	11.3575370557	[]	[]	[]	[]	[]
4	0	[]	[]	[]	[]	12.0743405956	2.93233244988	-6.97885697812	1.33159532996	12.378540287	[]	[]	[]	[]
4	1	[]	[]	[]	[]	12.1081373738	-10.3870308205	-20.6104124609	1.6983804115	9.96674165118	[]	[]	[]	[]
5	0	[]	[]	[]	11.4269888491	9.70577424451	10.3979436838	12.0370599014	11.9454941366	11.5142687297	12.3797562824	[]	[]	[]
5	1	[]	[]	[]	10.3452014253	6.79150339136	2.73786174433	2.87180980493	6.10482888503	9.4369732276	12.2858197066	[]	[]	[]
6	0	[]	[]	10.9321349806	8.89645503742	10.3542345369	12.213397248	11.8779956467	12.2705615985	13.3564492606	11.8515713253	10.9974372094	[]	[]
6	1	[]	[]	9.06327464621	7.19225409625	4.66024480035	2.23848612538	4.31178289765	9.63909873084	11.5266737469	10.145264368	9.34576688883	[]	[]
7	0	[]	[]	[]	5.71903139026	9.67319951323	11.4957786295	11.8200221935	11.8982001174	11.090337505	9.53522677861	[]	[]	[]
7	1	[]	[]	[]	3.39976530798	5.25420571187	4.48450839116	5.38428840539	6.66367527889	7.85162217062	8.30412293663	[]	[]	[]
8	0	[]	[]	[]	[]	-4.62936624395	11.7121607068	7.76892814464	10.2459254679	7.85602040864	[]	[]	[]	[]
8	1	[]	[]	[]	[]	3.66746939031	10.4469703862	9.15646364878	11.1044335701	0.94462482055	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	8.86252209462	7.72269221246	10.7494582319	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	8.81411834534	8.50753871534	11.1987831179	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	10.0289528569	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	9.08736863244	[]	[]	[]	[]	[]	[]
11	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
11	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
