b\a	mol	0	1	2	3	4	5	6	7	8	9	10	11	12
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	[]	[]	2.2081928681	[]	[]	[]	[]	[]	[]
3	1	[]	[]	[]	[]	[]	[]	2.21227515895	[]	[]	[]	[]	[]	[]
4	0	[]	[]	[]	[]	[]	2.43586310188	2.27518090799	2.41808748975	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]	2.48541773105	2.50779079452	2.14460223167	[]	[]	[]	[]	[]
5	0	[]	[]	[]	[]	2.25659062372	1.93782454146	2.20018439682	2.31066010503	2.11494189379	[]	[]	[]	[]
5	1	[]	[]	[]	[]	2.05218237041	2.57988559232	2.13156134474	2.38811809754	2.19581051794	[]	[]	[]	[]
6	0	[]	[]	[]	2.42982079634	2.17335952916	2.0177115037	2.02823647028	2.0875813727	2.2665241401	2.33606515202	[]	[]	[]
6	1	[]	[]	[]	2.65567581443	2.21582380337	1.94213765308	2.04863794361	2.15940018936	2.59619403463	2.23447820599	[]	[]	[]
7	0	[]	[]	[]	[]	2.00250238309	2.21156706997	2.30707835839	2.21595984693	2.47512861308	[]	[]	[]	[]
7	1	[]	[]	[]	[]	2.18769280442	2.04847416728	2.27250680979	2.11313060255	2.55169105852	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	2.23893849003	2.40786238944	2.31659451675	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	1.91610710594	2.17407509673	2.27102356045	[]	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	2.23974192817	[]	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	[]	2.25325519024	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
11	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
11	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
