c\b	mol	0	1	2	3	4	5	6	7	8	9	10	11	12
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	[]	[]	2.29514298413	[]	[]	[]	[]	[]	[]
3	1	[]	[]	[]	[]	[]	[]	2.21433062096	[]	[]	[]	[]	[]	[]
4	0	[]	[]	[]	[]	[]	2.18074661389	2.10407174164	2.41669718979	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]	2.10897878566	1.92388222686	2.19753643092	[]	[]	[]	[]	[]
5	0	[]	[]	[]	[]	2.28418170392	1.91803468214	1.960660678	2.20282550988	2.38774677046	[]	[]	[]	[]
5	1	[]	[]	[]	[]	2.18618696872	2.10462286639	1.96546302673	2.1843465938	2.23643759125	[]	[]	[]	[]
6	0	[]	[]	[]	2.43371022655	2.24936823374	1.89743589025	2.1263658524	1.9389250816	2.19927852895	2.87645717053	[]	[]	[]
6	1	[]	[]	[]	2.36108859074	2.19946552078	1.9882301861	1.88023223367	1.93926688057	1.77080198348	2.41899134777	[]	[]	[]
7	0	[]	[]	[]	[]	2.22433083308	1.84470656509	1.86091748832	2.08360248492	2.19735152813	[]	[]	[]	[]
7	1	[]	[]	[]	[]	2.13356953944	2.04460672891	1.87773980309	2.07035613925	2.08661440758	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	2.13181915099	2.04771019377	2.36088928251	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	2.07502592037	1.88439567585	2.15370978011	[]	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	2.33606515202	[]	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	[]	2.23447820599	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
11	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
11	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
