b\a	mol	0	1	2	3	4	5	6	7	8	9	10
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	[]	2.17539539155	[]	[]	[]	[]	[]
3	1	[]	[]	[]	[]	[]	2.2535234775	[]	[]	[]	[]	[]
4	0	[]	[]	[]	[]	2.90343900347	1.70002215707	2.4292317825	[]	[]	[]	[]
4	1	[]	[]	[]	[]	2.50532951418	1.78000852365	2.81898312445	[]	[]	[]	[]
5	0	[]	[]	[]	1.9448552886	0.744465370791	-2.22289442276	-0.640604143224	2.5154650243	[]	[]	[]
5	1	[]	[]	[]	2.55384929514	-0.743488996072	-2.57649164189	0.849248849141	1.64736630377	[]	[]	[]
6	0	[]	[]	[]	[]	2.89747130184	1.77889696486	2.50614087283	[]	[]	[]	[]
6	1	[]	[]	[]	[]	2.61468727571	1.85702484393	2.93788064174	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	2.33330537937	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	2.32017234566	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
