c\b	mol	0	1	2	3	4	5	6	7	8	9	10
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	[]	2.34369755692	[]	[]	[]	[]	[]
3	1	[]	[]	[]	[]	[]	2.96490099703	[]	[]	[]	[]	[]
4	0	[]	[]	[]	[]	1.50456267679	2.14339669754	2.63370539273	[]	[]	[]	[]
4	1	[]	[]	[]	[]	2.27591898322	2.02491828263	2.64408163669	[]	[]	[]	[]
5	0	[]	[]	[]	2.92593948935	4.16709104896	3.15753013102	1.6353748536	2.27118702857	[]	[]	[]
5	1	[]	[]	[]	2.88668006976	1.72759253688	2.34094601707	1.7227195294	2.31455164371	[]	[]	[]
6	0	[]	[]	[]	[]	1.37582360919	2.03884670147	2.66065420551	[]	[]	[]	[]
6	1	[]	[]	[]	[]	2.12667892006	1.96499115422	2.7381918458	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	2.27346014443	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	3.01335876448	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
