a\c	mol	0	1	2	3	4	5	6	7	8	9	10
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
4	0	[]	[]	[]	[]	[]	2.93455281964	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]	2.59130715437	[]	[]	[]	[]	[]
5	0	[]	[]	[]	[]	2.30018299308	1.66009611124	2.32181632748	[]	[]	[]	[]
5	1	[]	[]	[]	[]	2.39313989624	1.82193472357	2.4273351203	[]	[]	[]	[]
6	0	[]	[]	[]	[]	[]	2.62715979961	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	3.00673840439	[]	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
