c\b	mol	0	1	2	3	4	5	6	7	8	9	10
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	1.97148754744	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	0.676824237474	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	-0.263434956888	0.266342665893	-0.279510148967	[]	[]	[]	[]
3	1	[]	[]	[]	[]	-0.241231885232	0.198274290045	-0.659106243479	[]	[]	[]	[]
4	0	[]	[]	[]	0.227517145117	1.61186009705	-0.713914873861	-1.75013507085	-5.70120711794	[]	[]	[]
4	1	[]	[]	[]	0.641115536848	0.208996482028	-1.15851451344	-5.85374484569	-4.71461947089	[]	[]	[]
5	0	[]	[]	0.429237019236	-0.430549796343	-0.0104091646238	-0.720710078111	-2.35432414228	-4.58281805686	-2.96523021068	[]	[]
5	1	[]	[]	-0.494829415029	-0.245910687689	-0.168273427005	-1.70735030476	-3.19426553353	-2.51817436755	-2.26709551705	[]	[]
6	0	[]	[]	[]	0.202236060693	1.54928398698	-0.637494244691	-1.54880659256	-5.05551116385	[]	[]	[]
6	1	[]	[]	[]	0.596982646835	0.194937460286	-1.02901807102	-5.22967718939	-4.16361210439	[]	[]	[]
7	0	[]	[]	[]	[]	-0.255596952398	0.276052255853	-0.277952255914	[]	[]	[]	[]
7	1	[]	[]	[]	[]	-0.228058739329	0.197449259202	-0.651292758471	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	1.96726679657	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	0.675270912479	[]	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
