a\c	mol	0	1	2	3	4	5	6	7	8	9	10
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	[]	-2.96523021068	[]	[]	[]	[]	[]
3	1	[]	[]	[]	[]	[]	-2.26709551705	[]	[]	[]	[]	[]
4	0	[]	[]	[]	[]	-2.69340738252	-0.982835127078	-2.34964218067	[]	[]	[]	[]
4	1	[]	[]	[]	[]	-1.48292721706	-0.873070383372	-1.27064814267	[]	[]	[]	[]
5	0	[]	[]	[]	0.44268785222	0.204616665649	-0.192075953466	0.215338635129	0.431531647188	[]	[]	[]
5	1	[]	[]	[]	0.449778493714	0.328042630762	0.0551625760464	0.309040912338	0.469593181956	[]	[]	[]
6	0	[]	[]	[]	[]	0.113105130019	0.100110744627	0.136570789639	[]	[]	[]	[]
6	1	[]	[]	[]	[]	-2.01896753692	0.708708104567	-1.95018802328	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	-1.30813392665	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	0.649754361254	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
