a\c	mol	0	1	2	3	4	5	6	7	8	9	10
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	-5.8307076789	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	-4.89225164908	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	-5.70120711794	-4.58281805686	-5.05551116385	[]	[]	[]	[]
3	1	[]	[]	[]	[]	-4.71461947089	-2.51817436755	-4.16361210439	[]	[]	[]	[]
4	0	[]	[]	[]	-1.09438162231	-5.4686569709	-3.59620074763	-4.85444819163	-1.09080033608	[]	[]	[]
4	1	[]	[]	[]	-0.522392024445	-2.1649537587	-1.79465663919	-1.88079603051	-0.528962015557	[]	[]	[]
5	0	[]	[]	0.423942950646	-0.358122447998	-2.70692030427	-1.41696372975	-2.37605209721	-0.352591636138	0.425872365226	[]	[]
5	1	[]	[]	1.30540908105	0.10735635548	-2.60818499146	-0.611001982573	-2.31835284927	0.107065609574	1.30335399915	[]	[]
6	0	[]	[]	[]	-0.443995985499	0.088288988676	-0.429549544373	0.0828164950176	-0.442453379362	[]	[]	[]
6	1	[]	[]	[]	0.622495421977	0.176322477694	-0.360193381098	0.129017263088	0.650417641082	[]	[]	[]
7	0	[]	[]	[]	[]	-0.167772970624	-0.415590788464	-0.171706672265	[]	[]	[]	[]
7	1	[]	[]	[]	[]	-1.40355106383	-3.51344637711	-1.45082436934	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	-0.864396756754	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	-1.27194050773	[]	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
