c\b	mol	0	1	2	3	4	5	6	7	8	9	10
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	[]	0.799641995042	[]	[]	[]	[]	[]
3	1	[]	[]	[]	[]	[]	0.341830141608	[]	[]	[]	[]	[]
4	0	[]	[]	[]	[]	1.79026339836	-0.0798142561325	-1.26925936085	[]	[]	[]	[]
4	1	[]	[]	[]	[]	0.343942943405	0.173206743255	-5.07379273634	[]	[]	[]	[]
5	0	[]	[]	[]	1.41025974502	-0.545938054217	-0.360704242938	-2.9277982426	-5.8307076789	[]	[]	[]
5	1	[]	[]	[]	-0.210540420998	-0.201477141139	-0.880765306887	-5.10313135367	-4.89225164908	[]	[]	[]
6	0	[]	[]	[]	[]	1.74438016643	-0.0668931387426	-1.11051006143	[]	[]	[]	[]
6	1	[]	[]	[]	[]	0.327535744214	0.175407000464	-4.53095077809	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	0.809903948703	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	0.346724790175	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
