b\a	mol	0	1	2	3	4	5	6	7	8	9	10	11	12
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	2.29399487385	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	2.02826604269	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	[]	1.47417567627	2.11930858192	1.93197520058	[]	[]	[]	[]	[]
3	1	[]	[]	[]	[]	[]	1.95939949113	1.83916149185	1.39592907672	[]	[]	[]	[]	[]
4	0	[]	[]	[]	[]	1.29499009133	1.83506759406	1.23040173411	1.52059805609	0.615316019675	[]	[]	[]	[]
4	1	[]	[]	[]	[]	1.97994618776	1.86221327239	1.18595868111	0.134831528006	0.0251234416703	[]	[]	[]	[]
5	0	[]	[]	[]	3.65625311076	3.2270877438	1.44366964424	1.46351568535	1.18061977023	-0.31313561526	-0.0692923360522	[]	[]	[]
5	1	[]	[]	[]	2.18409636264	1.89326847375	1.08680736359	0.495699960107	1.43825609117	0.844305450759	0.765341249367	[]	[]	[]
6	0	[]	[]	1.59299734003	1.95301967596	1.33780803796	1.58480446715	1.49689111071	0.539844312118	1.26414126923	1.7419966908	1.9882043258	[]	[]
6	1	[]	[]	2.22234462109	1.8300418013	1.17203101387	0.374135187773	1.60225461276	1.47277933802	1.14329669755	1.9861243816	2.17312253115	[]	[]
7	0	[]	[]	[]	1.05551596269	0.705505718281	1.0252400085	-0.0873986163042	1.27153222231	1.84471696134	1.83813338478	[]	[]	[]
7	1	[]	[]	[]	-1.25446223446	-1.57195437397	1.26161515506	1.09719804662	1.06660420785	2.35877532505	2.10943672056	[]	[]	[]
8	0	[]	[]	[]	[]	-1.57886258653	-1.34518815256	0.307235935107	1.8460592611	1.79064385044	[]	[]	[]	[]
8	1	[]	[]	[]	[]	-0.975512822528	0.54545695916	0.376134051662	2.13871084802	0.98729011984	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	0.252462298389	1.94596864727	1.94436842208	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	0.945305993918	2.01519496703	0.600192660878	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	2.09351552634	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	1.5673352066	[]	[]	[]	[]	[]	[]
11	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
11	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
