a\c	mol	0	1	2	3	4	5	6	7	8	9	10	11	12
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
4	0	[]	[]	[]	[]	[]	[]	1.16837942461	[]	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]	[]	1.83631769525	[]	[]	[]	[]	[]	[]
5	0	[]	[]	[]	[]	[]	3.4492902818	1.71509221894	3.4743745319	[]	[]	[]	[]	[]
5	1	[]	[]	[]	[]	[]	1.99194358072	1.67803267571	2.01834727448	[]	[]	[]	[]	[]
6	0	[]	[]	[]	[]	2.28132475103	2.16181996211	1.6948220148	2.20073280145	2.29399487385	[]	[]	[]	[]
6	1	[]	[]	[]	[]	2.0342005381	1.9056515576	1.72769409284	1.89470312293	2.02826604269	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	1.68094384517	1.64896970125	1.72001327547	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	1.6610051005	1.62300439382	1.64239106203	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	1.41978707443	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	1.45718972591	[]	[]	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
11	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
11	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
