c\b	mol	0	1	2	3	4
0	0	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]
1	0	[]	[]	-0.996847871022	[]	[]
1	1	[]	[]	0.993901298949	[]	[]
1	2	[]	[]	0.943760680287	[]	[]
1	3	[]	[]	-1.38409149324	[]	[]
2	0	[]	0.445821919868	0.918453218153	0.500913891625	[]
2	1	[]	-0.0704141625061	0.00971730357081	0.933629737794	[]
2	2	[]	1.03190008529	-0.395132422777	-0.306140340626	[]
2	3	[]	0.823557351332	0.861063791557	0.0294693222799	[]
3	0	[]	[]	0.796578889333	[]	[]
3	1	[]	[]	0.252598074198	[]	[]
3	2	[]	[]	0.342554966912	[]	[]
3	3	[]	[]	0.751966674018	[]	[]
4	0	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]
4	2	[]	[]	[]	[]	[]
4	3	[]	[]	[]	[]	[]
